foo,CR-Fairmount,CR-Fitchburg,CR-Greenbush,CR-Haverhill,CR-Kingston,CR-Lowell,CR-Needham,CR-Newburyport,CR-Providence,CR-Worcester
140,24.466666666666665,82.51666666666667,67.1,71.96666666666667,56.1,56.95,43.85,68.74166666666667,86.81666666666666,81.43333333333334
141,23.533333333333335,93.11666666666666,54.083333333333336,67.23333333333333,59.71666666666667,43.516666666666666,43.9,72.15,94.85,87.51666666666667
142,23.533333333333335,102.33333333333333,55.56666666666667,70.03333333333333,60.15,41.833333333333336,45.13333333333333,77.01666666666667,95.46666666666667,79.1
143,22.033333333333335,98.3,57.9,71.35,55.06666666666667,41.6,45.06666666666667,68.85,98.28333333333333,83.0
144,22.516666666666666,83.9,58.083333333333336,70.76666666666667,57.56666666666667,53.416666666666664,44.13333333333333,69.33333333333333,93.88333333333334,93.95
145,21.533333333333335,92.83333333333333,54.916666666666664,69.18333333333334,54.016666666666666,46.416666666666664,49.5,68.96666666666667,95.75,48.8
146,22.05,110.56666666666666,54.56666666666667,72.51666666666667,55.983333333333334,43.2,43.93333333333333,69.04166666666666,103.68333333333334,85.76666666666667
147,23.533333333333335,80.11666666666666,56.61666666666667,73.2,54.65,45.25,45.03333333333333,67.40833333333333,90.91666666666667,95.0
148,25.033333333333335,104.91666666666667,58.96666666666667,68.71666666666667,54.18333333333333,45.4,43.416666666666664,67.03333333333333,93.76666666666667,106.91666666666667
149,25.8,91.51666666666667,55.416666666666664,67.3,67.58333333333333,45.083333333333336,48.68333333333333,68.3,88.65,97.21666666666667
150,25.816666666666666,98.75,54.38333333333333,72.48333333333333,56.333333333333336,47.63333333333333,45.016666666666666,74.1,108.15,85.45
151,22.55,95.96666666666667,55.36666666666667,71.46666666666667,52.93333333333333,49.666666666666664,47.9,69.04166666666666,89.9,80.88333333333334
152,23.85,102.08333333333333,59.11666666666667,70.45,66.81666666666666,39.833333333333336,46.53333333333333,65.125,95.95,87.83333333333333
153,24.5,97.46666666666667,54.56666666666667,37.85,58.483333333333334,45.75,45.916666666666664,70.35833333333333,98.88333333333334,79.81666666666666
154,56.3,81.03333333333333,53.88333333333333,72.96666666666667,54.36666666666667,43.63333333333333,43.083333333333336,66.49166666666666,89.11666666666666,83.5
155,23.016666666666666,98.2,51.28333333333333,66.98333333333333,56.9,47.96666666666667,37.03333333333333,70.40833333333333,96.53333333333333,83.55
156,24.25,100.05,55.1,70.36666666666666,57.6,47.95,37.233333333333334,69.70833333333334,88.8,82.4
157,23.533333333333335,102.68333333333334,56.53333333333333,77.78333333333333,52.233333333333334,50.13333333333333,44.016666666666666,67.1,90.75,80.7
158,22.516666666666666,92.98333333333333,56.85,70.98333333333333,54.2,50.55,42.083333333333336,67.98333333333333,89.28333333333333,97.7
159,22.033333333333335,90.33333333333333,55.1,71.13333333333334,67.58333333333333,47.4,40.28333333333333,69.88333333333333,89.66666666666667,84.11666666666666
160,23.016666666666666,98.1,53.983333333333334,73.43333333333334,55.06666666666667,38.4,44.81666666666667,70.90833333333333,95.75,95.9
161,22.533333333333335,113.48333333333333,55.03333333333333,72.35,63.1,45.13333333333333,46.733333333333334,67.225,91.23333333333333,79.85
