actualTravelTimeMin,benchmarkTravelTime,delay,CR-Fairmount,CR-Fitchburg,CR-Franklin,CR-Greenbush,CR-Haverhill,CR-Kingston,CR-Lowell,CR-Middleborough,CR-Needham,CR-Newburyport,CR-Providence,CR-Worcester,North Station,South Station,weekday,hour,month,morning,evening,weekend,rush_hour,holiday,delay_label
25.45,25.0,0.45,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,18,1,0,1,1,1,0,1
25.48333333,25.0,0.483333333,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,20,1,0,1,1,0,0,1
24.75,25.0,-0.25,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,21,1,0,1,1,0,0,0
21.68333333,25.0,-3.316666667,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,8,1,1,0,1,1,0,0
23.36666667,25.0,-1.6333333330000002,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,14,1,0,0,1,0,0,0
24.1,25.0,-0.9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,16,1,0,0,1,0,0,0
19.05,25.0,-5.95,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,20,1,0,1,1,0,0,0
25.68333333,25.0,0.683333333,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,20,1,0,1,1,0,0,1
22.65,25.0,-2.35,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,21,1,0,1,1,0,0,0
24.98333333,30.0,-5.016666667,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,1,1,0,0,0,1,0
27.4,30.0,-2.6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,1,1,0,0,1,1,0
27.08333333,30.0,-2.916666667,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,1,1,0,0,0,1,0
26.98333333,30.0,-3.016666667,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,1,0,0,0,0,1,0
31.1,30.0,1.1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,1,0,0,0,0,1,1
26.16666667,30.0,-3.833333333,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,1,0,0,0,0,1,0
28.81666667,30.0,-1.183333333,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,1,0,1,0,1,1,0
26.13333333,30.0,-3.866666667,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,1,0,1,0,1,1,0
27.35,30.0,-2.65,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20,1,0,1,0,0,1,0
29.21666667,30.0,-0.783333333,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,1,1,0,0,0,0,0
30.35,30.0,0.35,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,1,1,0,0,0,0,1
26.98333333,30.0,-3.016666667,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,1,1,0,0,1,0,0
26.81666667,30.0,-3.183333333,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,10,1,1,0,0,0,0,0
26.43333333,30.0,-3.566666667,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11,1,1,0,0,0,0,0
